"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55","test_create_user_param[ValidName-201]","project.tests","Sat Jun 21 15:29:54 UTC 2025","passed","Sat Jun 21 15:29:54 UTC 2025","","test_parameterization","",""
"This test verifies that a user can log in using correct credentials using POM.","347","Successful login with valid credentials using POM","project.tests","Sat Jun 21 15:29:55 UTC 2025","passed","Sat Jun 21 15:29:56 UTC 2025","","test_ui","",""
"This test verifies that a user can't login without user name","363","Unsuccessful login with empty user name. ","project.tests","Sat Jun 21 15:29:56 UTC 2025","passed","Sat Jun 21 15:29:57 UTC 2025","","test_ui","",""
"","33","test_create_user_param[-201]","project.tests","Sat Jun 21 15:29:54 UTC 2025","passed","Sat Jun 21 15:29:54 UTC 2025","","test_parameterization","",""
"","258","test_login_with_wrong_credentials","project.tests","Sat Jun 21 15:29:57 UTC 2025","passed","Sat Jun 21 15:29:58 UTC 2025","","test_users","",""
"This test verifies that a user can log in using correct credentials of locked user","374","Unsuccessful login with valid credentials of locked user ","project.tests","Sat Jun 21 15:29:56 UTC 2025","passed","Sat Jun 21 15:29:56 UTC 2025","","test_ui","",""
"This test verifies that a user can't login with unvalid username","382","Unsuccessful login with no valid user name. ","project.tests","Sat Jun 21 15:29:57 UTC 2025","passed","Sat Jun 21 15:29:57 UTC 2025","","test_ui","",""
"This test verifies that a user can log in using correct credentials.","453","Successful login with valid credentials","project.tests","Sat Jun 21 15:29:55 UTC 2025","passed","Sat Jun 21 15:29:55 UTC 2025","","test_ui","",""
"","41","test_update_user","project.tests","Sat Jun 21 15:29:57 UTC 2025","passed","Sat Jun 21 15:29:57 UTC 2025","","test_users","",""
"","28","test_get_users_negative","project.tests","Sat Jun 21 15:29:57 UTC 2025","passed","Sat Jun 21 15:29:57 UTC 2025","","test_users","",""
"","36","test_delete_user","project.tests","Sat Jun 21 15:29:57 UTC 2025","passed","Sat Jun 21 15:29:57 UTC 2025","","test_users","",""
"","45","test_create_user","project.tests","Sat Jun 21 15:29:57 UTC 2025","passed","Sat Jun 21 15:29:57 UTC 2025","","test_users","",""
"","31","test_create_user_param[None-201]","project.tests","Sat Jun 21 15:29:54 UTC 2025","passed","Sat Jun 21 15:29:54 UTC 2025","","test_parameterization","",""
"","36","test_get_users","project.tests","Sat Jun 21 15:29:57 UTC 2025","passed","Sat Jun 21 15:29:57 UTC 2025","","test_users","",""
